clas_local,clas_visitante,G_esp_local,Goles_local,G_esp_visitante,Goles_visitante,Disparos_puerta_intento_local,Disparos_puerta_buenos_local,Disparos_puerta_%_local,Disparos_puerta_intento_visitante,Disparos_puerta_buenos_visitante,Disparos_puerta_%_visitante,Paradas_local,Paradas_%_local,Paradas_visitante,Paradas_%_visitante,Saques_esquina_local,Saques_esquina_visitante,Pases_cruzados_local,Pases_cruzados_visitante,%_Saques_esquina_local_favor,%_Saques_esquina_visitante_favor,%_Saques_esquina_local_contra,%_Saques_esquina_visitante_contra,goles_marcados_local,goles_marcados_visitante,goles_recibidos_local,goles_recibidos_visitante,goles_esperados_local,goles_esperados_visitante,goles_esperados_contra_local,goles_esperados_contra_visitante,%_disparos_puerta_hechos_local,%_disparos_puerta_hechos_visitante,%_disparos_puerta_recibidos_local,%_disparos_puerta_recibidos_visitante,%_pases_cruzados_hechos_local,%_pases_cruzados_hechos_visitante,%_pases_cruzados_recibidos_local,%_pases_cruzados_recibidos_visitante
3,3,1.5,2,0.9,1,11,4,0.36,10,3,0.3,2,0.66,3,0.75,5,2,22,18,5.1875,2.875,3.625,5.5625,1.0625,1.125,1.1875,1.625,1.375,0.88125,1.03125,1.7125000000000001,4.0,2.9375,3.75,4.6875,24.875,15.6875,12.5625,22.1875
3,2,0.4,2,1.1,2,8,3,0.38,9,1,0.11,0,0.0,1,0.33,3,3,12,13,5.0625,3.235294117647059,3.8125,6.705882352941177,1.375,1.2352941176470589,1.0625,1.8235294117647058,1.225,0.9352941176470588,0.93125,1.5941176470588236,4.5,2.764705882352941,2.5625,5.352941176470588,20.1875,14.352941176470589,14.25,23.235294117647058
2,4,1.0,0,1.5,3,12,6,0.5,10,4,0.4,1,0.25,6,1.0,4,5,22,8,5.0625,4.9411764705882355,5.625,5.9411764705882355,1.125,1.1764705882352942,1.3125,1.1176470588235294,1.1625,1.1941176470588235,1.225,1.4529411764705882,5.0625,3.9411764705882355,3.375,4.235294117647059,20.375,12.823529411764707,19.0625,20.58823529411765
5,3,1.9,0,0.5,0,21,5,0.24,4,2,0.5,2,1.0,5,1.0,8,0,24,7,7.529411764705882,4.625,1.8235294117647058,5.0625,1.9411764705882353,0.9375,0.11764705882352941,1.4375,2.3058823529411767,0.9,0.6823529411764706,1.5999999999999999,5.9411764705882355,2.9375,1.7058823529411764,4.0625,23.294117647058822,17.625,9.588235294117647,20.6875
2,4,0.2,0,1.5,1,7,1,0.14,15,7,0.47,6,0.85,1,1.0,3,6,21,15,4.705882352941177,4.235294117647059,5.117647058823529,3.823529411764706,0.9411764705882353,1.2941176470588236,1.3529411764705883,0.9411764705882353,1.1352941176470588,1.2588235294117647,1.535294117647059,1.0823529411764705,3.1176470588235294,4.764705882352941,5.588235294117647,3.235294117647059,20.176470588235293,14.058823529411764,20.11764705882353,16.941176470588236
2,3,1.6,1,0.1,0,16,1,0.06,5,1,0.2,1,1.0,1,1.0,4,4,13,20,7.0,3.5,3.4705882352941178,5.375,1.411764705882353,1.1875,1.0,1.5,1.3588235294117648,1.15625,0.7823529411764706,1.475,4.117647058823529,3.0625,2.823529411764706,4.375,26.176470588235293,16.5,13.117647058823529,22.0
2,5,0.7,1,2.1,2,10,6,0.6,29,15,0.52,13,0.86,5,0.83,2,15,6,24,4.529411764705882,5.647058823529412,5.9411764705882355,4.9411764705882355,1.5294117647058822,1.7058823529411764,1.2941176470588236,1.0588235294117647,1.2705882352941178,1.7941176470588236,1.5294117647058822,1.2,4.235294117647059,4.9411764705882355,4.470588235294118,3.823529411764706,16.764705882352942,14.470588235294118,22.176470588235293,17.235294117647058
4,3,1.6,0,0.4,0,23,6,0.26,6,2,0.33,2,1.0,6,1.0,7,2,37,10,7.823529411764706,3.6470588235294117,2.4705882352941178,5.294117647058823,1.1764705882352942,0.8823529411764706,0.7647058823529411,1.4705882352941178,1.3882352941176472,0.8529411764705882,0.788235294117647,1.447058823529412,4.176470588235294,2.411764705882353,1.9411764705882353,4.352941176470588,27.823529411764707,15.705882352941176,13.823529411764707,22.88235294117647
2,5,0.7,0,1.2,3,10,0,0.0,12,5,0.42,2,0.4,0,1.0,3,6,23,23,3.764705882352941,3.6875,3.9411764705882355,5.25,1.0588235294117647,1.5,1.0588235294117647,0.75,1.2,1.325,1.211764705882353,1.14375,3.2941176470588234,4.5,4.235294117647059,3.75,19.764705882352942,13.9375,16.823529411764707,21.9375
4,1,3.1,3,0.4,0,17,8,0.47,4,1,0.25,1,1.0,5,0.62,8,4,16,10,4.375,4.176470588235294,5.1875,6.411764705882353,1.375,0.5882352941176471,0.9375,2.176470588235294,1.51875,0.6941176470588236,1.11875,2.0823529411764703,4.3125,2.2941176470588234,3.0625,6.529411764705882,14.25,14.647058823529411,18.75,22.294117647058822
