clas_local,clas_visitante,G_esp_local,G_esp_visitante,quiniela,Posesión_local,Posesión_visitante,Pases_intento_local,Pases_buenos_local,Pases_%_local,Pases_intento_visitante,Pases_buenos_visitante,Pases_%_visitante,Disparos_puerta_intento_local,Disparos_puerta_buenos_local,Disparos_puerta_%_local,Disparos_puerta_intento_visitante,Disparos_puerta_buenos_visitante,Disparos_puerta_%_visitante,Paradas_local,Paradas_%_local,Paradas_visitante,Paradas_%_visitante,Amarillas_local,expulsion_doble_amarilla_local,expulsión_roja_directa_local,Amarillas_visitante,expulsion_doble_amarilla_visitante,expulsión_roja_directa_visitante,Faltas_local,Faltas_visitante,Saques_esquina_local,Saques_esquina_visitante,Pases_cruzados_local,Pases_cruzados_visitante,Toques_local,Toques_visitante,Derribos_local,Derribos_visitante,Intercepciones_local,Intercepciones_visitante,Duelos_aereos_ganados_local,Duelos_aereos_ganados_visitante,Despejes_local,Despejes_visitante,Fuera_juego_local,Fuera_juego_visitante,Saque_puerta_local,Saque_puerta_visitante,Saque_banda_local,Saque_banda_visitante,Pelotazos_local,Pelotazos_visitante,%_Saques_esquina_local_favor,%_Saques_esquina_visitante_favor,%_Saques_esquina_local_contra,%_Saques_esquina_visitante_contra,Árbitro_faltas_local,Árbitro_faltas_visitante,Árbitro_amarillas_local,Árbitro_amarillas_visitante,Árbitro_doble_amarilla_local,Árbitro_doble_amarilla_visitante,Árbitro_roja_directa_local,Árbitro_roja_directa_visitante,tarjetas_total_local,tarjetas_total_visitante,Árbitro_sum_tarjetas_local,Árbitro_sum_tarjetas_visitante,faltas_cometidas_local,faltas_cometidas_visitante,faltas_provocadas_local,faltas_provocadas_visitante,amarillas_cometidas_local,amarillas_cometidas_visitante,amarillas_provocadas_local,amarillas_provocadas_visitante,dobles_amarillas_cometidas_local,dobles_amarillas_cometidas_visitante,dobles_amarillas_provocadas_local,dobles_amarillas_provocadas_visitante,rojas_directas_cometida_local,rojas_directas_cometida_visitante,rojas_directas_provocadas_local,rojas_directas_provocadas_visitante,goles_marcados_local,goles_marcados_visitante,goles_recibidos_local,goles_recibidos_visitante,goles_esperados_local,goles_esperados_visitante,goles_esperados_contra_local,goles_esperados_contra_visitante,posesion_media_local,posesion_media_visitante,%_disparos_puerta_hechos_local,%_disparos_puerta_hechos_visitante,%_disparos_puerta_recibidos_local,%_disparos_puerta_recibidos_visitante,%_pases_cruzados_hechos_local,%_pases_cruzados_hechos_visitante,%_pases_cruzados_recibidos_local,%_pases_cruzados_recibidos_visitante,tarjetas_cometidas_local,tarjetas_cometidas_visitante,tarjetas_provocadas_local,tarjetas_provocadas_visitante
3,3,1.5,0.9,1,0.35,0.65,307,225,0.73,566,480,0.85,11,4,0.36,10,3,0.3,2,0.66,3,0.75,5,0,0,3,0,0,16,9,5,2,22,18,401,650,11,12,5,6,8,18,19,23,5,2,4,5,19,24,69,81,5.1875,2.875,3.625,5.5625,12.222222222222221,12.333333333333334,1.7222222222222223,2.0,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.16666666666666666,5,3,2.0,2.2222222222222223,14.5,11.9375,12.25,12.375,2.5,3.6875,2.625,2.6875,0.0,0.1875,0.25,0.0,0.1875,0.0625,0.0625,0.1875,1.0625,1.125,1.1875,1.625,1.375,0.88125,1.03125,1.7125000000000001,0.515,0.5181250000000001,4.0,2.9375,3.75,4.6875,24.875,15.6875,12.5625,22.1875,2.6875,3.9375,2.9375,2.875
3,2,0.4,1.1,X,0.6,0.4,583,469,0.8,392,284,0.72,8,3,0.38,9,1,0.11,0,0.0,1,0.33,5,0,0,2,0,0,17,15,3,3,12,13,692,525,19,18,9,22,24,26,23,18,1,0,11,5,27,21,66,89,5.0625,3.235294117647059,3.8125,6.705882352941177,12.8,11.6,2.2666666666666666,2.6,0.06666666666666667,0.2,0.3333333333333333,0.06666666666666667,5,2,2.6666666666666665,2.8666666666666667,12.75,12.058823529411764,13.25,13.470588235294118,2.0625,2.7058823529411766,2.75,3.1176470588235294,0.0625,0.058823529411764705,0.0625,0.11764705882352941,0.0625,0.17647058823529413,0.1875,0.11764705882352941,1.375,1.2352941176470589,1.0625,1.8235294117647058,1.225,0.9352941176470588,0.93125,1.5941176470588236,0.54,0.3976470588235294,4.5,2.764705882352941,2.5625,5.352941176470588,20.1875,14.352941176470589,14.25,23.235294117647058,2.1875,2.941176470588235,3.0,3.3529411764705883
2,4,1.0,1.5,2,0.51,0.49,478,384,0.8,453,351,0.77,12,6,0.5,10,4,0.4,1,0.25,6,1.0,1,0,0,0,0,0,6,10,4,5,22,8,582,553,16,18,19,7,10,12,18,16,2,1,10,12,18,25,64,78,5.0625,4.9411764705882355,5.625,5.9411764705882355,12.176470588235293,12.705882352941176,2.0,1.3529411764705883,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,1,0,2.1176470588235294,1.4705882352941178,11.625,11.176470588235293,13.6875,12.941176470588236,1.75,2.176470588235294,2.0,2.0588235294117645,0.0,0.0,0.0,0.0,0.0625,0.058823529411764705,0.0625,0.11764705882352941,1.125,1.1764705882352942,1.3125,1.1176470588235294,1.1625,1.1941176470588235,1.225,1.4529411764705882,0.48062499999999997,0.5476470588235295,5.0625,3.9411764705882355,3.375,4.235294117647059,20.375,12.823529411764707,19.0625,20.58823529411765,1.8125,2.2352941176470584,2.0625,2.176470588235294
5,3,1.9,0.5,X,0.67,0.33,617,526,0.85,303,208,0.69,21,5,0.24,4,2,0.5,2,1.0,5,1.0,3,1,0,6,0,0,16,14,8,0,24,7,713,409,16,18,4,10,10,6,7,18,4,4,6,13,24,15,70,76,7.529411764705882,4.625,1.8235294117647058,5.0625,13.75,12.5625,3.0625,3.6875,0.125,0.125,0.1875,0.0,4,6,3.375,3.8125,12.058823529411764,15.875,11.823529411764707,14.875,1.7647058823529411,2.6875,2.8823529411764706,2.5625,0.11764705882352941,0.125,0.11764705882352941,0.1875,0.058823529411764705,0.0625,0.11764705882352941,0.0625,1.9411764705882353,0.9375,0.11764705882352941,1.4375,2.3058823529411767,0.9,0.6823529411764706,1.5999999999999999,0.6558823529411765,0.485625,5.9411764705882355,2.9375,1.7058823529411764,4.0625,23.294117647058822,17.625,9.588235294117647,20.6875,1.9411764705882353,2.875,3.1176470588235294,2.8125
2,4,0.2,1.5,2,0.41,0.59,343,237,0.69,502,400,0.8,7,1,0.14,15,7,0.47,6,0.85,1,1.0,4,0,0,2,0,0,9,20,3,6,21,15,463,635,20,25,8,8,19,20,20,27,4,0,4,10,24,23,90,63,4.705882352941177,4.235294117647059,5.117647058823529,3.823529411764706,15.2,13.133333333333333,3.466666666666667,2.466666666666667,0.06666666666666667,0.2,0.2,0.06666666666666667,4,2,3.7333333333333334,2.7333333333333334,12.823529411764707,16.470588235294116,12.647058823529411,12.294117647058824,2.588235294117647,2.235294117647059,2.4705882352941178,3.0,0.0,0.0,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.9411764705882353,1.2941176470588236,1.3529411764705883,0.9411764705882353,1.1352941176470588,1.2588235294117647,1.535294117647059,1.0823529411764705,0.43529411764705883,0.5511764705882354,3.1176470588235294,4.764705882352941,5.588235294117647,3.235294117647059,20.176470588235293,14.058823529411764,20.11764705882353,16.941176470588236,2.7058823529411766,2.2941176470588234,2.705882352941176,3.2941176470588234
2,3,1.6,0.1,1,0.46,0.54,381,297,0.78,450,364,0.81,16,1,0.06,5,1,0.2,1,1.0,1,1.0,2,0,1,3,0,0,18,14,4,4,13,20,491,538,14,13,8,5,9,14,17,10,1,2,5,6,15,22,57,60,7.0,3.5,3.4705882352941178,5.375,12.411764705882353,14.764705882352942,1.8823529411764706,3.588235294117647,0.0,0.058823529411764705,0.17647058823529413,0.17647058823529413,3,3,2.0588235294117645,3.823529411764706,13.176470588235293,11.6875,15.882352941176471,16.0,2.764705882352941,2.6875,3.7058823529411766,2.6875,0.058823529411764705,0.0625,0.11764705882352941,0.0625,0.11764705882352941,0.0,0.058823529411764705,0.0625,1.411764705882353,1.1875,1.0,1.5,1.3588235294117648,1.15625,0.7823529411764706,1.475,0.556470588235294,0.509375,4.117647058823529,3.0625,2.823529411764706,4.375,26.176470588235293,16.5,13.117647058823529,22.0,2.941176470588235,2.75,3.8823529411764706,2.8125
2,5,0.7,2.1,2,0.33,0.67,344,277,0.81,707,629,0.89,10,6,0.6,29,15,0.52,13,0.86,5,0.83,3,0,0,1,0,0,11,4,2,15,6,24,469,807,11,9,9,8,7,5,32,3,3,3,8,5,13,19,59,49,4.529411764705882,5.647058823529412,5.9411764705882355,4.9411764705882355,13.0,14.4375,2.625,2.4375,0.0,0.0,0.0625,0.0625,3,1,2.6875,2.5,12.588235294117647,9.411764705882353,10.588235294117647,14.235294117647058,2.8823529411764706,2.0588235294117645,2.8823529411764706,2.411764705882353,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.11764705882352941,1.5294117647058822,1.7058823529411764,1.2941176470588236,1.0588235294117647,1.2705882352941178,1.7941176470588236,1.5294117647058822,1.2,0.46058823529411763,0.5823529411764706,4.235294117647059,4.9411764705882355,4.470588235294118,3.823529411764706,16.764705882352942,14.470588235294118,22.176470588235293,17.235294117647058,3.0,2.117647058823529,2.9999999999999996,2.5882352941176467
4,3,1.6,0.4,X,0.64,0.36,536,424,0.79,303,202,0.67,23,6,0.26,6,2,0.33,2,1.0,6,1.0,0,0,0,6,0,0,13,12,7,2,37,10,633,430,10,19,4,11,16,12,15,28,1,0,4,17,20,16,56,84,7.823529411764706,3.6470588235294117,2.4705882352941178,5.294117647058823,12.166666666666666,11.944444444444445,2.0,2.8333333333333335,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.05555555555555555,0,6,2.2222222222222223,2.9444444444444446,13.411764705882353,15.529411764705882,10.764705882352942,12.0,2.1176470588235294,2.9411764705882355,2.411764705882353,2.1176470588235294,0.058823529411764705,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,1.1764705882352942,0.8823529411764706,0.7647058823529411,1.4705882352941178,1.3882352941176472,0.8529411764705882,0.788235294117647,1.447058823529412,0.5258823529411765,0.4029411764705882,4.176470588235294,2.411764705882353,1.9411764705882353,4.352941176470588,27.823529411764707,15.705882352941176,13.823529411764707,22.88235294117647,2.2352941176470584,3.0,2.411764705882353,2.2352941176470584
2,5,0.7,1.2,2,0.42,0.58,434,334,0.77,595,493,0.83,10,0,0.0,12,5,0.42,2,0.4,0,1.0,2,0,0,1,0,0,14,19,3,6,23,23,540,692,11,20,9,10,14,10,21,17,0,5,2,16,22,21,84,75,3.764705882352941,3.6875,3.9411764705882355,5.25,12.722222222222221,14.777777777777779,2.2222222222222223,3.0555555555555554,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,2,1,2.3333333333333335,3.2222222222222223,16.352941176470587,12.9375,13.294117647058824,12.4375,3.2941176470588234,2.9375,2.5294117647058822,2.625,0.11764705882352941,0.0625,0.11764705882352941,0.0,0.11764705882352941,0.125,0.0,0.0,1.0588235294117647,1.5,1.0588235294117647,0.75,1.2,1.325,1.211764705882353,1.14375,0.42470588235294116,0.46625,3.2941176470588234,4.5,4.235294117647059,3.75,19.764705882352942,13.9375,16.823529411764707,21.9375,3.5294117647058822,3.125,2.6470588235294117,2.625
4,1,3.1,0.4,1,0.71,0.29,648,559,0.86,260,176,0.68,17,8,0.47,4,1,0.25,1,1.0,5,0.62,3,0,0,6,0,1,10,18,8,4,16,10,748,359,16,12,14,14,14,6,8,22,5,3,1,4,20,20,58,49,4.375,4.176470588235294,5.1875,6.411764705882353,13.529411764705882,14.705882352941176,2.823529411764706,3.411764705882353,0.058823529411764705,0.23529411764705882,0.23529411764705882,0.23529411764705882,3,7,3.1176470588235294,3.8823529411764706,10.9375,13.411764705882353,14.9375,10.764705882352942,1.875,3.0588235294117645,3.0625,1.9411764705882353,0.0,0.058823529411764705,0.0,0.058823529411764705,0.5,0.29411764705882354,0.125,0.0,1.375,0.5882352941176471,0.9375,2.176470588235294,1.51875,0.6941176470588236,1.11875,2.0823529411764703,0.505625,0.4076470588235294,4.3125,2.2941176470588234,3.0625,6.529411764705882,14.25,14.647058823529411,18.75,22.294117647058822,2.375,3.4117647058823524,3.1875,2.0
