clas_local,clas_visitante,Amarillas_local,expulsion_doble_amarilla_local,expulsión_roja_directa_local,Amarillas_visitante,expulsion_doble_amarilla_visitante,expulsión_roja_directa_visitante,Faltas_local,Faltas_visitante,Derribos_local,Derribos_visitante,Árbitro_faltas_local,Árbitro_faltas_visitante,Árbitro_amarillas_local,Árbitro_amarillas_visitante,Árbitro_doble_amarilla_local,Árbitro_doble_amarilla_visitante,Árbitro_roja_directa_local,Árbitro_roja_directa_visitante,tarjetas_total_local,tarjetas_total_visitante,Árbitro_sum_tarjetas_local,Árbitro_sum_tarjetas_visitante,faltas_cometidas_local,faltas_cometidas_visitante,faltas_provocadas_local,faltas_provocadas_visitante,amarillas_cometidas_local,amarillas_cometidas_visitante,amarillas_provocadas_local,amarillas_provocadas_visitante,dobles_amarillas_cometidas_local,dobles_amarillas_cometidas_visitante,dobles_amarillas_provocadas_local,dobles_amarillas_provocadas_visitante,rojas_directas_cometida_local,rojas_directas_cometida_visitante,rojas_directas_provocadas_local,rojas_directas_provocadas_visitante,tarjetas_cometidas_local,tarjetas_cometidas_visitante,tarjetas_provocadas_local,tarjetas_provocadas_visitante
3,3,5,0,0,3,0,0,16,9,11,12,12.222222222222221,12.333333333333334,1.7222222222222223,2.0,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.16666666666666666,5,3,2.0,2.2222222222222223,14.5,11.9375,12.25,12.375,2.5,3.6875,2.625,2.6875,0.0,0.1875,0.25,0.0,0.1875,0.0625,0.0625,0.1875,2.6875,3.9375,2.9375,2.875
3,2,5,0,0,2,0,0,17,15,19,18,12.8,11.6,2.2666666666666666,2.6,0.06666666666666667,0.2,0.3333333333333333,0.06666666666666667,5,2,2.6666666666666665,2.8666666666666667,12.75,12.058823529411764,13.25,13.470588235294118,2.0625,2.7058823529411766,2.75,3.1176470588235294,0.0625,0.058823529411764705,0.0625,0.11764705882352941,0.0625,0.17647058823529413,0.1875,0.11764705882352941,2.1875,2.941176470588235,3.0,3.3529411764705883
2,4,1,0,0,0,0,0,6,10,16,18,12.176470588235293,12.705882352941176,2.0,1.3529411764705883,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,1,0,2.1176470588235294,1.4705882352941178,11.625,11.176470588235293,13.6875,12.941176470588236,1.75,2.176470588235294,2.0,2.0588235294117645,0.0,0.0,0.0,0.0,0.0625,0.058823529411764705,0.0625,0.11764705882352941,1.8125,2.2352941176470584,2.0625,2.176470588235294
5,3,3,1,0,6,0,0,16,14,16,18,13.75,12.5625,3.0625,3.6875,0.125,0.125,0.1875,0.0,4,6,3.375,3.8125,12.058823529411764,15.875,11.823529411764707,14.875,1.7647058823529411,2.6875,2.8823529411764706,2.5625,0.11764705882352941,0.125,0.11764705882352941,0.1875,0.058823529411764705,0.0625,0.11764705882352941,0.0625,1.9411764705882353,2.875,3.1176470588235294,2.8125
2,4,4,0,0,2,0,0,9,20,20,25,15.2,13.133333333333333,3.466666666666667,2.466666666666667,0.06666666666666667,0.2,0.2,0.06666666666666667,4,2,3.7333333333333334,2.7333333333333334,12.823529411764707,16.470588235294116,12.647058823529411,12.294117647058824,2.588235294117647,2.235294117647059,2.4705882352941178,3.0,0.0,0.0,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.17647058823529413,2.7058823529411766,2.2941176470588234,2.705882352941176,3.2941176470588234
2,3,2,0,1,3,0,0,18,14,14,13,12.411764705882353,14.764705882352942,1.8823529411764706,3.588235294117647,0.0,0.058823529411764705,0.17647058823529413,0.17647058823529413,3,3,2.0588235294117645,3.823529411764706,13.176470588235293,11.6875,15.882352941176471,16.0,2.764705882352941,2.6875,3.7058823529411766,2.6875,0.058823529411764705,0.0625,0.11764705882352941,0.0625,0.11764705882352941,0.0,0.058823529411764705,0.0625,2.941176470588235,2.75,3.8823529411764706,2.8125
2,5,3,0,0,1,0,0,11,4,11,9,13.0,14.4375,2.625,2.4375,0.0,0.0,0.0625,0.0625,3,1,2.6875,2.5,12.588235294117647,9.411764705882353,10.588235294117647,14.235294117647058,2.8823529411764706,2.0588235294117645,2.8823529411764706,2.411764705882353,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.11764705882352941,3.0,2.117647058823529,2.9999999999999996,2.5882352941176467
4,3,0,0,0,6,0,0,13,12,10,19,12.166666666666666,11.944444444444445,2.0,2.8333333333333335,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.05555555555555555,0,6,2.2222222222222223,2.9444444444444446,13.411764705882353,15.529411764705882,10.764705882352942,12.0,2.1176470588235294,2.9411764705882355,2.411764705882353,2.1176470588235294,0.058823529411764705,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,2.2352941176470584,3.0,2.411764705882353,2.2352941176470584
2,5,2,0,0,1,0,0,14,19,11,20,12.722222222222221,14.777777777777779,2.2222222222222223,3.0555555555555554,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,2,1,2.3333333333333335,3.2222222222222223,16.352941176470587,12.9375,13.294117647058824,12.4375,3.2941176470588234,2.9375,2.5294117647058822,2.625,0.11764705882352941,0.0625,0.11764705882352941,0.0,0.11764705882352941,0.125,0.0,0.0,3.5294117647058822,3.125,2.6470588235294117,2.625
4,1,3,0,0,6,0,1,10,18,16,12,13.529411764705882,14.705882352941176,2.823529411764706,3.411764705882353,0.058823529411764705,0.23529411764705882,0.23529411764705882,0.23529411764705882,3,7,3.1176470588235294,3.8823529411764706,10.9375,13.411764705882353,14.9375,10.764705882352942,1.875,3.0588235294117645,3.0625,1.9411764705882353,0.0,0.058823529411764705,0.0,0.058823529411764705,0.5,0.29411764705882354,0.125,0.0,2.375,3.4117647058823524,3.1875,2.0
